Feature,F_score,p_value
Month_Sin,0.0014890668823625967,0.9692203592458891
FloodSubtype_Code,5.320623307768699,0.021122849871692044
Month_Cos,10.198763429636525,0.0014157201972249162
Start Year,21.769578100183008,3.1699497258781684e-06
Log_Duration,146.89845261995694,2.943694887942147e-33
Log_TotalAffected,162.42255429886043,1.572873774494276e-36
Region_Code,246.3211273931267,5.455415543910328e-54
Log_TotalDeaths,307.24343452144086,1.9046845836355299e-66
Log_DamagePerDeath,33033.12191941186,0.0
Log_TotalDamage,61883.824921413216,0.0
Log_AdjDamage,64678.053798859866,0.0
